2026-06-13 15:20:33.989 INFO  [background-preinit] [no-request-id] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 9.0.1.Final
2026-06-13 15:20:34.108 INFO  [main] [no-request-id] c.p.g.ApiGatewayApplicationTests - Starting ApiGatewayApplicationTests using Java 17.0.19 with PID 90268 (started by pradeep in /home/pradeep/Desktop/coding/web_2_projects/Software-Engineering/PrevPaperApp/api-gateway)
2026-06-13 15:20:34.117 INFO  [main] [no-request-id] c.p.g.ApiGatewayApplicationTests - No active profile set, falling back to 1 default profile: "default"
2026-06-13 15:20:36.194 INFO  [main] [no-request-id] o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-06-13 15:20:36.198 INFO  [main] [no-request-id] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-06-13 15:20:36.245 INFO  [main] [no-request-id] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 21 ms. Found 0 Redis repository interfaces.
2026-06-13 15:20:37.050 INFO  [main] [no-request-id] o.s.cloud.context.scope.GenericScope - BeanFactory id=fc918621-0553-378f-a066-99309b8498d0
2026-06-13 15:20:38.613 INFO  [main] [no-request-id] o.s.c.o.FeignClientFactoryBean - For 'AUTH-SERVICE' URL not provided. Will try picking an instance via load-balancing.
2026-06-13 15:20:40.556 INFO  [main] [no-request-id] o.s.c.n.e.c.DiscoveryClientOptionalArgsConfiguration - Eureka HTTP Client uses RestClient.
2026-06-13 15:20:40.625 WARN  [main] [no-request-id] o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2026-06-13 15:20:40.645 INFO  [main] [no-request-id] o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint beneath base path '/actuator'
2026-06-13 15:20:40.749 INFO  [main] [no-request-id] o.s.c.n.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
2026-06-13 15:20:40.785 INFO  [main] [no-request-id] c.netflix.discovery.DiscoveryClient - Initializing Eureka in region us-east-1
2026-06-13 15:20:40.790 INFO  [main] [no-request-id] c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-06-13 15:20:40.811 INFO  [main] [no-request-id] c.netflix.discovery.DiscoveryClient - Disable delta property : false
2026-06-13 15:20:40.811 INFO  [main] [no-request-id] c.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
2026-06-13 15:20:40.812 INFO  [main] [no-request-id] c.netflix.discovery.DiscoveryClient - Force full registry fetch : false
2026-06-13 15:20:40.812 INFO  [main] [no-request-id] c.netflix.discovery.DiscoveryClient - Application is null : false
2026-06-13 15:20:40.812 INFO  [main] [no-request-id] c.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
2026-06-13 15:20:40.813 INFO  [main] [no-request-id] c.netflix.discovery.DiscoveryClient - Application version is -1: true
2026-06-13 15:20:40.813 INFO  [main] [no-request-id] c.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
2026-06-13 15:20:41.252 INFO  [main] [no-request-id] c.netflix.discovery.DiscoveryClient - The response status is 200
2026-06-13 15:20:41.256 INFO  [main] [no-request-id] c.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 30
2026-06-13 15:20:41.259 INFO  [main] [no-request-id] c.n.discovery.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
2026-06-13 15:20:41.263 INFO  [main] [no-request-id] c.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1781344241262 with initial instances count: 2
2026-06-13 15:20:41.272 INFO  [main] [no-request-id] o.s.c.n.e.s.EurekaServiceRegistry - Registering application API-GATEWAY with eureka with status UP
2026-06-13 15:20:41.273 INFO  [main] [no-request-id] c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1781344241273, current=UP, previous=STARTING]
2026-06-13 15:20:41.277 INFO  [DiscoveryClient-InstanceInfoReplicator-%d] [no-request-id] c.netflix.discovery.DiscoveryClient - DiscoveryClient_API-GATEWAY/10.33.159.181:API-GATEWAY:8080: registering service...
2026-06-13 15:20:41.335 INFO  [main] [no-request-id] c.p.g.ApiGatewayApplicationTests - Started ApiGatewayApplicationTests in 8.105 seconds (process running for 10.344)
2026-06-13 15:20:41.381 INFO  [DiscoveryClient-InstanceInfoReplicator-%d] [no-request-id] c.netflix.discovery.DiscoveryClient - DiscoveryClient_API-GATEWAY/10.33.159.181:API-GATEWAY:8080 - registration status: 204
2026-06-13 15:20:43.140 INFO  [SpringApplicationShutdownHook] [no-request-id] o.s.c.n.e.s.EurekaServiceRegistry - Unregistering application API-GATEWAY with eureka with status DOWN
2026-06-13 15:20:43.141 INFO  [SpringApplicationShutdownHook] [no-request-id] c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1781344243141, current=DOWN, previous=UP]
