2026-06-14 11:56:51.094 INFO  [background-preinit] [no-request-id] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 9.0.1.Final
2026-06-14 11:56:52.147 INFO  [restartedMain] [no-request-id] c.p.gateway.ApiGatewayApplication - Starting ApiGatewayApplication using Java 17.0.19 with PID 18985 (/home/pradeep/Desktop/coding/web_2_projects/Software-Engineering/PrevPaperApp/api-gateway/target/classes started by pradeep in /home/pradeep/Desktop/coding/web_2_projects/Software-Engineering/PrevPaperApp)
2026-06-14 11:56:52.176 INFO  [restartedMain] [no-request-id] c.p.gateway.ApiGatewayApplication - No active profile set, falling back to 1 default profile: "default"
2026-06-14 11:56:52.746 INFO  [restartedMain] [no-request-id] o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-06-14 11:56:52.753 INFO  [restartedMain] [no-request-id] o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2026-06-14 11:57:05.726 INFO  [restartedMain] [no-request-id] o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-06-14 11:57:05.788 INFO  [restartedMain] [no-request-id] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-06-14 11:57:06.494 INFO  [restartedMain] [no-request-id] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 297 ms. Found 0 Redis repository interfaces.
2026-06-14 11:57:17.411 INFO  [restartedMain] [no-request-id] o.s.cloud.context.scope.GenericScope - BeanFactory id=c906662a-49f0-35b1-a13c-6535dea4e6e9
2026-06-14 11:57:22.930 INFO  [restartedMain] [no-request-id] o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-06-14 11:57:22.976 INFO  [restartedMain] [no-request-id] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-06-14 11:57:22.986 INFO  [restartedMain] [no-request-id] o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-06-14 11:57:22.988 INFO  [restartedMain] [no-request-id] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.18]
2026-06-14 11:57:23.224 INFO  [restartedMain] [no-request-id] o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 30468 ms
2026-06-14 11:57:26.230 INFO  [restartedMain] [no-request-id] o.s.c.o.FeignClientFactoryBean - For 'AUTH-SERVICE' URL not provided. Will try picking an instance via load-balancing.
2026-06-14 11:57:35.519 INFO  [restartedMain] [no-request-id] o.s.cloud.commons.util.InetUtils - Cannot determine local hostname
2026-06-14 11:57:35.626 INFO  [restartedMain] [no-request-id] o.s.c.n.e.c.DiscoveryClientOptionalArgsConfiguration - Eureka HTTP Client uses RestClient.
2026-06-14 11:57:36.192 WARN  [restartedMain] [no-request-id] o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2026-06-14 11:57:36.260 INFO  [restartedMain] [no-request-id] o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint beneath base path '/actuator'
2026-06-14 11:57:36.599 INFO  [restartedMain] [no-request-id] o.s.c.n.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
2026-06-14 11:57:36.708 INFO  [restartedMain] [no-request-id] c.netflix.discovery.DiscoveryClient - Initializing Eureka in region us-east-1
2026-06-14 11:57:36.719 INFO  [restartedMain] [no-request-id] c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-06-14 11:57:36.749 INFO  [restartedMain] [no-request-id] c.netflix.discovery.DiscoveryClient - Disable delta property : false
2026-06-14 11:57:36.751 INFO  [restartedMain] [no-request-id] c.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
2026-06-14 11:57:36.751 INFO  [restartedMain] [no-request-id] c.netflix.discovery.DiscoveryClient - Force full registry fetch : false
2026-06-14 11:57:36.752 INFO  [restartedMain] [no-request-id] c.netflix.discovery.DiscoveryClient - Application is null : false
2026-06-14 11:57:36.752 INFO  [restartedMain] [no-request-id] c.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
2026-06-14 11:57:36.753 INFO  [restartedMain] [no-request-id] c.netflix.discovery.DiscoveryClient - Application version is -1: true
2026-06-14 11:57:36.753 INFO  [restartedMain] [no-request-id] c.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
2026-06-14 11:57:37.580 INFO  [restartedMain] [no-request-id] c.netflix.discovery.DiscoveryClient - The response status is 200
2026-06-14 11:57:37.592 INFO  [restartedMain] [no-request-id] c.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 30
2026-06-14 11:57:37.601 INFO  [restartedMain] [no-request-id] c.n.discovery.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
2026-06-14 11:57:37.610 INFO  [restartedMain] [no-request-id] c.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1781418457608 with initial instances count: 5
2026-06-14 11:57:37.623 INFO  [restartedMain] [no-request-id] o.s.c.n.e.s.EurekaServiceRegistry - Registering application API-GATEWAY with eureka with status UP
2026-06-14 11:57:37.626 INFO  [restartedMain] [no-request-id] c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1781418457626, current=UP, previous=STARTING]
2026-06-14 11:57:37.630 INFO  [DiscoveryClient-InstanceInfoReplicator-%d] [no-request-id] c.netflix.discovery.DiscoveryClient - DiscoveryClient_API-GATEWAY/10.33.159.181:API-GATEWAY:8080: registering service...
2026-06-14 11:57:37.632 INFO  [restartedMain] [no-request-id] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-06-14 11:57:37.678 INFO  [restartedMain] [no-request-id] o.s.boot.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-06-14 11:57:37.681 INFO  [restartedMain] [no-request-id] o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 8080
2026-06-14 11:57:37.766 INFO  [restartedMain] [no-request-id] c.p.gateway.ApiGatewayApplication - Started ApiGatewayApplication in 51.788 seconds (process running for 59.142)
2026-06-14 11:57:37.773 INFO  [DiscoveryClient-InstanceInfoReplicator-%d] [no-request-id] c.netflix.discovery.DiscoveryClient - DiscoveryClient_API-GATEWAY/10.33.159.181:API-GATEWAY:8080 - registration status: 204
2026-06-14 11:58:44.813 INFO  [http-nio-8080-exec-1] [no-request-id] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-06-14 11:58:44.814 INFO  [http-nio-8080-exec-1] [no-request-id] o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-06-14 11:58:44.821 INFO  [http-nio-8080-exec-1] [no-request-id] o.s.web.servlet.DispatcherServlet - Completed initialization in 6 ms
2026-06-14 11:58:44.849 INFO  [http-nio-8080-exec-1] [71cce752-8feb-472e-8dca-25641c04bab3] c.p.g.i.GatewayRequestLoggingFilter - Gateway request received: requestId=71cce752-8feb-472e-8dca-25641c04bab3, method=OPTIONS, path=/api/v1/auth/login, routeTarget=AUTH-SERVICE, queryKeys=[], clientIp=0:0:0:0:0:0:0:1, contentType=null, contentLength=-1, origin=http://localhost:5173
2026-06-14 11:58:44.865 INFO  [http-nio-8080-exec-1] [71cce752-8feb-472e-8dca-25641c04bab3] c.p.g.i.GatewayRequestLoggingFilter - Gateway request completed: requestId=71cce752-8feb-472e-8dca-25641c04bab3, method=OPTIONS, path=/api/v1/auth/login, routeTarget=AUTH-SERVICE, status=200, durationMs=19, userId=null, roles=null, universityId=null, scopeId=null
2026-06-14 11:58:44.884 INFO  [http-nio-8080-exec-2] [3e981562-b53d-4927-afed-2f6fe8d149fc] c.p.g.i.GatewayRequestLoggingFilter - Gateway request received: requestId=3e981562-b53d-4927-afed-2f6fe8d149fc, method=POST, path=/api/v1/auth/login, routeTarget=AUTH-SERVICE, queryKeys=[], clientIp=0:0:0:0:0:0:0:1, contentType=application/json, contentLength=55, origin=http://localhost:5173
2026-06-14 11:58:45.106 INFO  [http-nio-8080-exec-2] [3e981562-b53d-4927-afed-2f6fe8d149fc] c.p.g.config.GatewayRoutesConfig - Gateway route selected: routeTarget=AUTH-SERVICE, method=POST, path=/api/v1/auth/login
2026-06-14 11:58:45.390 INFO  [http-nio-8080-exec-2] [3e981562-b53d-4927-afed-2f6fe8d149fc] c.p.g.i.GatewayRequestLoggingFilter - Gateway request completed: requestId=3e981562-b53d-4927-afed-2f6fe8d149fc, method=POST, path=/api/v1/auth/login, routeTarget=AUTH-SERVICE, status=302, durationMs=506, userId=null, roles=null, universityId=null, scopeId=null
2026-06-14 12:02:36.757 INFO  [AsyncResolver-bootstrap-executor-%d] [no-request-id] c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-06-14 12:03:01.707 INFO  [SpringApplicationShutdownHook] [no-request-id] o.s.c.n.e.s.EurekaServiceRegistry - Unregistering application API-GATEWAY with eureka with status DOWN
2026-06-14 12:03:01.708 INFO  [SpringApplicationShutdownHook] [no-request-id] c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1781418781708, current=DOWN, previous=UP]
2026-06-14 12:03:01.709 INFO  [DiscoveryClient-InstanceInfoReplicator-%d] [no-request-id] c.netflix.discovery.DiscoveryClient - DiscoveryClient_API-GATEWAY/10.33.159.181:API-GATEWAY:8080: registering service...
2026-06-14 12:03:01.719 INFO  [SpringApplicationShutdownHook] [no-request-id] o.s.boot.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-06-14 12:03:01.727 INFO  [DiscoveryClient-InstanceInfoReplicator-%d] [no-request-id] c.netflix.discovery.DiscoveryClient - DiscoveryClient_API-GATEWAY/10.33.159.181:API-GATEWAY:8080 - registration status: 204
2026-06-14 12:03:01.727 INFO  [tomcat-shutdown] [no-request-id] o.s.boot.tomcat.GracefulShutdown - Graceful shutdown complete
2026-06-14 12:03:02.256 INFO  [SpringApplicationShutdownHook] [no-request-id] c.netflix.discovery.DiscoveryClient - Shutting down DiscoveryClient ...
2026-06-14 12:03:05.258 INFO  [SpringApplicationShutdownHook] [no-request-id] c.netflix.discovery.DiscoveryClient - Unregistering ...
2026-06-14 12:03:05.272 INFO  [SpringApplicationShutdownHook] [no-request-id] c.netflix.discovery.DiscoveryClient - DiscoveryClient_API-GATEWAY/10.33.159.181:API-GATEWAY:8080 - deregister  status: 200
2026-06-14 12:03:05.273 INFO  [SpringApplicationShutdownHook] [no-request-id] c.netflix.discovery.DiscoveryClient - Completed shut down of DiscoveryClient
2026-06-14 12:03:13.228 INFO  [background-preinit] [no-request-id] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 9.0.1.Final
2026-06-14 12:03:13.646 INFO  [restartedMain] [no-request-id] c.p.gateway.ApiGatewayApplication - Starting ApiGatewayApplication using Java 17.0.19 with PID 26379 (/home/pradeep/Desktop/coding/web_2_projects/Software-Engineering/PrevPaperApp/api-gateway/target/classes started by pradeep in /home/pradeep/Desktop/coding/web_2_projects/Software-Engineering/PrevPaperApp)
2026-06-14 12:03:13.654 INFO  [restartedMain] [no-request-id] c.p.gateway.ApiGatewayApplication - No active profile set, falling back to 1 default profile: "default"
2026-06-14 12:03:14.019 INFO  [restartedMain] [no-request-id] o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-06-14 12:03:14.020 INFO  [restartedMain] [no-request-id] o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2026-06-14 12:03:19.301 INFO  [restartedMain] [no-request-id] o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-06-14 12:03:19.312 INFO  [restartedMain] [no-request-id] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-06-14 12:03:19.437 INFO  [restartedMain] [no-request-id] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 54 ms. Found 0 Redis repository interfaces.
2026-06-14 12:03:21.097 INFO  [restartedMain] [no-request-id] o.s.cloud.context.scope.GenericScope - BeanFactory id=c906662a-49f0-35b1-a13c-6535dea4e6e9
2026-06-14 12:03:22.423 INFO  [restartedMain] [no-request-id] o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-06-14 12:03:22.447 INFO  [restartedMain] [no-request-id] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-06-14 12:03:22.450 INFO  [restartedMain] [no-request-id] o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-06-14 12:03:22.451 INFO  [restartedMain] [no-request-id] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.18]
2026-06-14 12:03:22.542 INFO  [restartedMain] [no-request-id] o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 8519 ms
2026-06-14 12:03:23.470 INFO  [restartedMain] [no-request-id] o.s.c.o.FeignClientFactoryBean - For 'AUTH-SERVICE' URL not provided. Will try picking an instance via load-balancing.
2026-06-14 12:03:25.972 INFO  [restartedMain] [no-request-id] o.s.c.n.e.c.DiscoveryClientOptionalArgsConfiguration - Eureka HTTP Client uses RestClient.
2026-06-14 12:03:26.075 WARN  [restartedMain] [no-request-id] o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2026-06-14 12:03:26.107 INFO  [restartedMain] [no-request-id] o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint beneath base path '/actuator'
2026-06-14 12:03:26.226 INFO  [restartedMain] [no-request-id] o.s.c.n.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
2026-06-14 12:03:26.265 INFO  [restartedMain] [no-request-id] c.netflix.discovery.DiscoveryClient - Initializing Eureka in region us-east-1
2026-06-14 12:03:26.271 INFO  [restartedMain] [no-request-id] c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-06-14 12:03:26.286 INFO  [restartedMain] [no-request-id] c.netflix.discovery.DiscoveryClient - Disable delta property : false
2026-06-14 12:03:26.286 INFO  [restartedMain] [no-request-id] c.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
2026-06-14 12:03:26.286 INFO  [restartedMain] [no-request-id] c.netflix.discovery.DiscoveryClient - Force full registry fetch : false
2026-06-14 12:03:26.287 INFO  [restartedMain] [no-request-id] c.netflix.discovery.DiscoveryClient - Application is null : false
2026-06-14 12:03:26.287 INFO  [restartedMain] [no-request-id] c.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
2026-06-14 12:03:26.287 INFO  [restartedMain] [no-request-id] c.netflix.discovery.DiscoveryClient - Application version is -1: true
2026-06-14 12:03:26.287 INFO  [restartedMain] [no-request-id] c.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
2026-06-14 12:03:26.701 INFO  [restartedMain] [no-request-id] c.netflix.discovery.DiscoveryClient - The response status is 200
2026-06-14 12:03:26.707 INFO  [restartedMain] [no-request-id] c.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 30
2026-06-14 12:03:26.711 INFO  [restartedMain] [no-request-id] c.n.discovery.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
2026-06-14 12:03:26.714 INFO  [restartedMain] [no-request-id] c.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1781418806712 with initial instances count: 6
2026-06-14 12:03:26.720 INFO  [restartedMain] [no-request-id] o.s.c.n.e.s.EurekaServiceRegistry - Registering application API-GATEWAY with eureka with status UP
2026-06-14 12:03:26.721 INFO  [restartedMain] [no-request-id] c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1781418806721, current=UP, previous=STARTING]
2026-06-14 12:03:26.724 INFO  [DiscoveryClient-InstanceInfoReplicator-%d] [no-request-id] c.netflix.discovery.DiscoveryClient - DiscoveryClient_API-GATEWAY/10.33.159.181:API-GATEWAY:8080: registering service...
2026-06-14 12:03:26.725 INFO  [restartedMain] [no-request-id] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-06-14 12:03:26.750 INFO  [restartedMain] [no-request-id] o.s.boot.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-06-14 12:03:26.753 INFO  [restartedMain] [no-request-id] o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 8080
2026-06-14 12:03:26.802 INFO  [DiscoveryClient-InstanceInfoReplicator-%d] [no-request-id] c.netflix.discovery.DiscoveryClient - DiscoveryClient_API-GATEWAY/10.33.159.181:API-GATEWAY:8080 - registration status: 204
2026-06-14 12:03:26.803 INFO  [restartedMain] [no-request-id] c.p.gateway.ApiGatewayApplication - Started ApiGatewayApplication in 15.972 seconds (process running for 18.436)
2026-06-14 12:03:34.855 INFO  [http-nio-8080-exec-1] [no-request-id] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-06-14 12:03:34.856 INFO  [http-nio-8080-exec-1] [no-request-id] o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-06-14 12:03:34.861 INFO  [http-nio-8080-exec-1] [no-request-id] o.s.web.servlet.DispatcherServlet - Completed initialization in 5 ms
2026-06-14 12:03:34.888 INFO  [http-nio-8080-exec-1] [de20d07e-db9b-4fe5-bfde-3490dfac785c] c.p.g.i.GatewayRequestLoggingFilter - Gateway request received: requestId=de20d07e-db9b-4fe5-bfde-3490dfac785c, method=OPTIONS, path=/api/v1/auth/login, routeTarget=AUTH-SERVICE, queryKeys=[], clientIp=0:0:0:0:0:0:0:1, contentType=null, contentLength=-1, origin=http://localhost:5173
2026-06-14 12:03:34.900 INFO  [http-nio-8080-exec-1] [de20d07e-db9b-4fe5-bfde-3490dfac785c] c.p.g.i.GatewayRequestLoggingFilter - Gateway request completed: requestId=de20d07e-db9b-4fe5-bfde-3490dfac785c, method=OPTIONS, path=/api/v1/auth/login, routeTarget=AUTH-SERVICE, status=200, durationMs=15, userId=null, roles=null, universityId=null, scopeId=null
2026-06-14 12:03:34.913 INFO  [http-nio-8080-exec-2] [0e9e4c87-63ff-4e2b-a64e-e14fbc893b1c] c.p.g.i.GatewayRequestLoggingFilter - Gateway request received: requestId=0e9e4c87-63ff-4e2b-a64e-e14fbc893b1c, method=POST, path=/api/v1/auth/login, routeTarget=AUTH-SERVICE, queryKeys=[], clientIp=0:0:0:0:0:0:0:1, contentType=application/json, contentLength=56, origin=http://localhost:5173
2026-06-14 12:03:35.081 WARN  [http-nio-8080-exec-2] [0e9e4c87-63ff-4e2b-a64e-e14fbc893b1c] o.s.c.l.core.RoundRobinLoadBalancer - No servers available for service: AUTH-SERVICE
2026-06-14 12:03:35.120 WARN  [http-nio-8080-exec-2] [0e9e4c87-63ff-4e2b-a64e-e14fbc893b1c] o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.client.HttpServerErrorException: 503 Unable to find instance for AUTH-SERVICE]
2026-06-14 12:03:35.122 INFO  [http-nio-8080-exec-2] [0e9e4c87-63ff-4e2b-a64e-e14fbc893b1c] c.p.g.i.GatewayRequestLoggingFilter - Gateway request completed: requestId=0e9e4c87-63ff-4e2b-a64e-e14fbc893b1c, method=POST, path=/api/v1/auth/login, routeTarget=AUTH-SERVICE, status=500, durationMs=209, userId=null, roles=null, universityId=null, scopeId=null
2026-06-14 12:03:57.297 INFO  [SpringApplicationShutdownHook] [no-request-id] o.s.c.n.e.s.EurekaServiceRegistry - Unregistering application API-GATEWAY with eureka with status DOWN
2026-06-14 12:03:57.297 INFO  [SpringApplicationShutdownHook] [no-request-id] c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1781418837297, current=DOWN, previous=UP]
2026-06-14 12:03:57.298 INFO  [DiscoveryClient-InstanceInfoReplicator-%d] [no-request-id] c.netflix.discovery.DiscoveryClient - DiscoveryClient_API-GATEWAY/10.33.159.181:API-GATEWAY:8080: registering service...
2026-06-14 12:03:57.305 INFO  [SpringApplicationShutdownHook] [no-request-id] o.s.boot.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-06-14 12:03:57.309 INFO  [DiscoveryClient-InstanceInfoReplicator-%d] [no-request-id] c.netflix.discovery.DiscoveryClient - DiscoveryClient_API-GATEWAY/10.33.159.181:API-GATEWAY:8080 - registration status: 204
2026-06-14 12:03:57.310 INFO  [tomcat-shutdown] [no-request-id] o.s.boot.tomcat.GracefulShutdown - Graceful shutdown complete
2026-06-14 12:03:57.867 INFO  [SpringApplicationShutdownHook] [no-request-id] c.netflix.discovery.DiscoveryClient - Shutting down DiscoveryClient ...
2026-06-14 12:04:00.868 INFO  [SpringApplicationShutdownHook] [no-request-id] c.netflix.discovery.DiscoveryClient - Unregistering ...
2026-06-14 12:04:00.878 INFO  [SpringApplicationShutdownHook] [no-request-id] c.netflix.discovery.DiscoveryClient - DiscoveryClient_API-GATEWAY/10.33.159.181:API-GATEWAY:8080 - deregister  status: 200
2026-06-14 12:04:00.879 INFO  [SpringApplicationShutdownHook] [no-request-id] c.netflix.discovery.DiscoveryClient - Completed shut down of DiscoveryClient
2026-06-14 12:04:05.323 INFO  [background-preinit] [no-request-id] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 9.0.1.Final
2026-06-14 12:04:05.424 INFO  [restartedMain] [no-request-id] c.p.gateway.ApiGatewayApplication - Starting ApiGatewayApplication using Java 17.0.19 with PID 27171 (/home/pradeep/Desktop/coding/web_2_projects/Software-Engineering/PrevPaperApp/api-gateway/target/classes started by pradeep in /home/pradeep/Desktop/coding/web_2_projects/Software-Engineering/PrevPaperApp)
2026-06-14 12:04:05.427 INFO  [restartedMain] [no-request-id] c.p.gateway.ApiGatewayApplication - No active profile set, falling back to 1 default profile: "default"
2026-06-14 12:04:05.563 INFO  [restartedMain] [no-request-id] o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-06-14 12:04:05.564 INFO  [restartedMain] [no-request-id] o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2026-06-14 12:04:07.683 INFO  [restartedMain] [no-request-id] o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-06-14 12:04:07.689 INFO  [restartedMain] [no-request-id] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-06-14 12:04:07.749 INFO  [restartedMain] [no-request-id] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 23 ms. Found 0 Redis repository interfaces.
2026-06-14 12:04:08.836 INFO  [restartedMain] [no-request-id] o.s.cloud.context.scope.GenericScope - BeanFactory id=c906662a-49f0-35b1-a13c-6535dea4e6e9
2026-06-14 12:04:09.775 INFO  [restartedMain] [no-request-id] o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-06-14 12:04:09.800 INFO  [restartedMain] [no-request-id] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-06-14 12:04:09.804 INFO  [restartedMain] [no-request-id] o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-06-14 12:04:09.805 INFO  [restartedMain] [no-request-id] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.18]
2026-06-14 12:04:09.904 INFO  [restartedMain] [no-request-id] o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 4339 ms
2026-06-14 12:04:10.844 INFO  [restartedMain] [no-request-id] o.s.c.o.FeignClientFactoryBean - For 'AUTH-SERVICE' URL not provided. Will try picking an instance via load-balancing.
