2026-06-29 08:54:17.956 INFO  [main] [traceId=, spanId=] c.p.user.UserServiceApplication - Starting UserServiceApplication using Java 17.0.19 with PID 9509 (/home/pradeep/Desktop/coding/web_2_projects/Software-Engineering/PrevPaperApp/user-service/target/classes started by pradeep in /home/pradeep/Desktop/coding/web_2_projects/Software-Engineering/PrevPaperApp)
2026-06-29 08:54:18.059 INFO  [main] [traceId=, spanId=] c.p.user.UserServiceApplication - No active profile set, falling back to 1 default profile: "default"
2026-06-29 08:54:21.613 INFO  [background-preinit] [traceId=, spanId=] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 9.0.1.Final
2026-06-29 08:54:29.017 INFO  [main] [traceId=, spanId=] o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-06-29 08:54:29.033 INFO  [main] [traceId=, spanId=] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-06-29 08:54:30.122 INFO  [main] [traceId=, spanId=] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 1008 ms. Found 4 JPA repository interfaces.
2026-06-29 08:54:30.359 INFO  [main] [traceId=, spanId=] o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-06-29 08:54:30.369 INFO  [main] [traceId=, spanId=] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-06-29 08:54:30.508 INFO  [main] [traceId=, spanId=] o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.prevpaper.user.repository.AccountRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2026-06-29 08:54:30.513 INFO  [main] [traceId=, spanId=] o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.prevpaper.user.repository.TransactionRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2026-06-29 08:54:30.515 INFO  [main] [traceId=, spanId=] o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.prevpaper.user.repository.UserPreferenceRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
